,region,townsize,gender,age,agecat,ed,edcat,jobcat,union,employ,empcat,retire,income,inccat,debtinc,creddebt,othdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,tollten,equip,equipmon,equipten,callcard,cardmon,cardten,wireless,wiremon,wireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03,ln_total_spent
empcat,-0.00934522,-0.058169499,-0.013842468,0.739573428,0.732246366,-0.197884253,-0.185672412,0.346722726,0.028027941,0.898162331,1,0.408095937,0.340502474,0.384803213,0.031172404,0.204741637,0.242537624,-0.377985141,0.513673242,0.001605328,-0.020121698,-0.024719911,-0.256361538,0.029658139,0.013853523,0.00920516,-0.009412174,-0.005603742,0.009345831,-0.008881103,0.028407092,0.021710211,-0.039946024,0.637167845,0.664110811,0.008633909,-0.018673962,0.012012717,0.332840085,0.245966162,0.017507661,0.017668376,-0.00232195,-0.000542744,-0.043227849,0.005843866,-0.001099381,0.023696146,-0.009298486,0.009417836,-0.014453525,-0.022352016,-0.014903246,0.000399575,0.007170572,-0.008616037,0.077191054,-0.019400454,0.02013604,0.035963337,-0.000617375,0.014381196,-0.001052808,0.012270939,0.688057733,0.630748741,-0.011498587,0.04199969,-0.006534663,0.015202455,0.670649343,0.636183812,-0.188429412,0.107483301,0.603293506,-0.274308233,0.449941767,0.479365461,0.034249756,0.155088221,0.303469985,-0.166428803,-0.119793903,0.08119673,0.30538731,0.309305914,0.453583268,-0.067184906,-0.008934852,0.125535925,0.232547424,-0.076036911,-0.070188043,-0.148034977,0.021536241,0.058523892,0.044340371,0.041628744,-0.151782412,0.017323327,-0.00444024,0.16811525,0.160621076,0.138173414,-0.054009906,-0.152394281,-0.192716132,-0.211117887,-0.035826021,0.369205592,0.03041822,0.0175038,-0.032849811,0.093428216
retire,-0.042848872,-0.06590644,-0.021039892,0.567518618,0.511334742,-0.093277817,-0.089321528,0.173735825,0.016391578,0.502869882,0.408095937,1,-0.227463287,-0.326195285,0.024189837,-0.122069735,-0.152776305,-0.211481681,0.162461637,-0.00156603,-0.01392719,-0.018038019,-0.1774083,0.027953299,0.010288382,0.001706281,-0.010811106,-0.003518717,0.005378559,0.012741305,0.0268894,-0.094161554,0.051154987,0.414103204,0.352559099,-0.037687885,-0.172516617,-0.006685615,-0.241196167,-0.159257708,-0.013977244,0.006553162,0.015580993,0.019094843,-0.019262112,-0.024278227,-0.003193918,0.034741568,0.006168007,0.001699468,0.004980426,-0.008690529,0.003194979,-0.033901578,0.036447918,0.008516317,-0.048943184,-0.005192639,-0.005212626,-0.046586327,-0.014315192,-0.017225578,0.007429501,-0.007293473,0.407887149,0.29313612,0.036759134,0.02398861,0.001467725,0.020015074,0.381696517,0.315190563,-0.115188676,0.031782857,0.346748807,-0.151531499,0.294321089,0.316745661,-0.08918675,-0.038607942,0.05654385,-0.101724518,-0.089368773,0.017233568,0.160641192,0.173246305,0.279897588,-0.130203825,-0.098484794,-0.030774362,0.142761536,-0.103817274,-0.119240987,-0.081436314,-0.086598774,-0.087476498,-0.080897891,-0.088908577,-0.066577847,-0.198260403,-0.102944544,-0.145458016,-0.155008121,-0.16531799,-0.097558472,-0.088905922,-0.132788865,-0.151758983,-0.070564348,0.213706616,-0.003456608,-0.019784287,-0.0385002,-0.200467231
income,0.044822601,-0.0019147,-0.009952389,0.189301241,0.211926955,0.178035927,0.176494473,0.10424896,0.001832389,0.319101468,0.340502474,-0.227463287,1,0.792572971,0.017195002,0.667452302,0.733297653,0.003484094,0.23362438,0.009840855,0.03808896,0.050643223,-0.06743442,0.007987383,-0.001416407,0.027146851,-0.002779598,-0.00397148,-0.009667436,-0.015093928,0.007198715,0.133380143,-0.084550286,0.234235549,0.282563701,0.040546919,0.140790927,0.053155163,0.765478202,0.480250616,0.072703418,-0.012138373,-0.024759335,-0.028264847,-0.014142574,0.035110111,0.011978754,-0.010564919,-0.001595951,0.004500179,0.002368936,-0.014953903,0.005862515,0.003037388,0.001469652,-0.001078069,0.084085795,0.008041707,0.029088049,0.11669519,0.021542814,0.001977879,-0.017149221,0.00028682,0.251404623,0.252869746,-0.061266076,0.010388329,-0.01041115,0.002972485,0.244355974,0.240731859,-0.06032074,0.077728632,0.217868414,-0.041204523,0.174303402,0.179716764,0.150259796,0.230254075,0.271245623,0.05481129,0.104135743,0.15421128,0.140625746,0.143800105,0.170628181,0.158732289,0.21209543,0.248351346,0.151265643,0.126565297,0.14869849,0.074342435,0.134502034,0.163459766,0.132424285,0.15661029,0.049692691,0.099345345,0.050430038,0.196750086,0.199243821,0.179108298,0.139003658,0.048604251,0.037423141,0.03116517,0.145425002,0.121696074,-0.007105627,0.053692947,0.047224904,0.328080027
inccat,0.041849788,-0.00759209,-0.002148739,0.209659247,0.249393504,0.196751146,0.197249945,0.067554926,0.013028145,0.312871226,0.384803213,-0.326195285,0.792572971,1,0.012295303,0.449556116,0.545563306,-0.060433675,0.283221453,0.009614249,0.041984288,0.056447568,-0.082258003,0.002486287,0.00375167,0.012037394,0.000498989,0.006520428,0.015052121,-0.014436072,-0.002756853,0.144599897,-0.089934735,0.261969984,0.341076517,0.057865213,0.178383574,0.054255596,0.806573852,0.575542402,0.060401624,0.00855207,-0.024511216,-0.030683526,-0.032481321,0.04331894,0.009608432,-0.011780461,-0.010394172,-0.000547,-0.003389404,-0.015928897,-0.001223133,0.016397556,-0.007825389,-0.000273847,0.083165562,0.007106064,0.048621771,0.135765329,0.015407067,-0.001204817,-0.013616229,0.007435232,0.267669472,0.309996197,-0.072947896,-0.00136055,-0.004716884,-0.013057786,0.267042149,0.286016558,-0.071517317,0.083740375,0.230356126,-0.04012208,0.153725272,0.159544368,0.160155769,0.227756898,0.259264013,0.077641292,0.124253328,0.167802097,0.157130239,0.151342408,0.165161671,0.163983846,0.20988415,0.231239836,0.157353784,0.131086865,0.150826598,0.070135801,0.148612539,0.167755881,0.149331692,0.16382298,0.055471341,0.1423268,0.064533395,0.287225551,0.292891033,0.259558392,0.147062483,0.052350945,0.045009719,0.046546004,0.139071658,0.134250871,-0.001147708,0.06260277,0.055487786,0.377924544
debtinc,-0.005480386,-0.019592471,0.005308668,0.039083502,0.041339352,0.011633367,0.009446864,0.005491779,-0.004069437,0.033192171,0.031172404,0.024189837,0.017195002,0.012295303,1,0.36839372,0.452857113,0.294778221,0.022813117,-0.036629766,-0.037939575,-0.037587657,-0.023231314,-0.002676276,0.00371448,-0.003010043,-0.013198956,0.016823738,0.009180835,0.018078953,-0.007352559,-0.000174465,0.024321877,0.027641935,0.037133646,0.020720702,0.00920725,0.019569164,0.013905983,0.016493051,-0.001978033,0.013414328,-0.011342688,-0.018148933,-8.72E-05,0.030006724,-0.014088897,-0.003526887,-0.01635915,-0.019703078,-0.000567525,0.007999737,0.023307883,-0.01480949,0.007910462,0.012999244,0.009219205,-0.00442583,0.031410879,-0.007153994,0.006420653,0.005603336,0.00730571,-0.006224478,0.020282374,0.024822371,-0.010058389,-0.00648875,-0.02119519,0.009415087,0.023137217,0.031789468,-0.004491797,-0.010666374,0.018992599,-0.007932529,0.012330452,0.014444847,-0.021828456,-0.00699214,0.0042988,-0.006533917,-0.001504216,0.011957914,0.013175273,0.010196575,0.011735334,-0.003355063,-0.001966768,0.008023222,0.037336376,-0.000996504,-0.006856334,-0.003861539,-0.004974548,-0.011931699,0.006646739,-0.006228265,-0.008250956,-0.002852045,-0.012902429,0.004312329,0.019634094,0.002758529,0.001346818,0.009552953,0.013959741,0.008231822,0.002820571,0.005047003,0.005009161,0.00289682,0.020447339,0.016292283
creddebt,0.017427343,-0.018986197,-0.012171753,0.119633021,0.13100125,0.105700374,0.099918311,0.068139037,-0.009345838,0.193129758,0.204741637,-0.122069735,0.667452302,0.449556116,0.36839372,1,0.667345275,0.219343244,0.148970167,-0.006449421,0.009836047,0.019014712,-0.043514818,0.000813858,-0.001635852,0.019377943,-0.012015494,5.11E-06,-0.005507068,-5.78E-07,-0.000705745,0.076879874,-0.038630606,0.143817216,0.16971704,0.037871513,0.083639275,0.021127872,0.442225391,0.277448889,0.046544772,-0.011656391,-0.036518319,-0.04058151,-0.00306183,0.035484393,-0.002915232,-0.013435402,-0.019233851,-0.006588809,-0.008474647,-0.007625561,0.007603624,-0.011535093,-0.011497284,0.009052597,0.051032744,0.013869053,0.020759127,0.090814878,0.020662703,0.012949262,-0.008259178,-0.003109197,0.147003332,0.145561167,-0.038926554,-0.002595778,0.000697841,0.009694328,0.146798818,0.142604157,-0.030526013,0.044728675,0.129698142,-0.030737211,0.110346875,0.114640428,0.080776369,0.140775281,0.169985679,0.018068394,0.041659085,0.078005782,0.091238815,0.084960266,0.09843703,0.093046166,0.115574637,0.148448864,0.108997424,0.068312944,0.086077606,0.035870533,0.062922812,0.089869232,0.066841765,0.085419564,0.020771995,0.05557293,0.037597375,0.108597739,0.113107538,0.099112779,0.059157853,0.023465755,0.014914292,-0.002490555,0.071628968,0.072808925,-0.001389428,0.026894695,0.026297234,0.204539296
othdebt,0.040080851,-0.00537841,-0.017953358,0.137583117,0.156817279,0.126778205,0.123600461,0.077024439,-0.0097529,0.225981338,0.242537624,-0.152776305,0.733297653,0.545563306,0.452857113,0.667345275,1,0.116865337,0.166655712,0.002604951,0.026222938,0.035613967,-0.044920668,0.007556773,0.003980742,0.015639454,-0.007104173,0.005019291,-0.006175679,0.003128634,0.004502829,0.092467339,-0.048976636,0.165139428,0.205802387,0.04520502,0.105085435,0.046612391,0.533818421,0.339690572,0.052822945,0.001326378,-0.033125116,-0.03848143,-0.005569518,0.040894434,0.010941608,-0.000952903,-0.012306621,-0.008812363,-0.011801587,-0.012679635,0.018061635,0.001983192,0.002903688,0.001738159,0.057841255,0.006225958,0.032269484,0.067171216,0.005460483,-0.009836897,0.000790202,-0.003974885,0.182198158,0.180638201,-0.045812276,0.020056404,-0.022458912,0.000719029,0.183093362,0.182528236,-0.038646419,0.049277871,0.165261384,-0.040545447,0.131561662,0.137289593,0.099052957,0.166995215,0.199774743,0.028049138,0.069106632,0.109600801,0.105527512,0.101263263,0.120816229,0.118244715,0.16459376,0.196582866,0.134688231,0.086013679,0.108755749,0.054508691,0.103830316,0.117993145,0.102935513,0.113495177,0.038148505,0.070403259,0.038285687,0.1367561,0.140504807,0.124261813,0.106127523,0.042729065,0.041613661,0.022895015,0.113084528,0.090331476,2.02E-05,0.035213003,0.038306725,0.244291215
default,-0.00685635,0.023589877,-0.001620452,-0.394208227,-0.392858667,0.110141249,0.103714329,-0.086022243,-0.017210117,-0.327087129,-0.377985141,-0.211481681,0.003484094,-0.060433675,0.294778221,0.219343244,0.116865337,1,-0.197925173,-0.044724053,-0.026903577,-0.019294815,0.123707912,0.007756428,-0.013151263,-0.025214867,-0.020334546,-0.00740492,0.014783148,0.028598503,0.015774399,-0.027638073,0.013042649,-0.35579423,-0.376241791,0.026755723,0.067734399,0.024219739,-0.014247047,-0.01178796,0.031952731,-0.005635147,-0.035730381,-0.037459376,0.030485249,0.012028455,-0.003337786,-0.008787063,0.002475319,0.005759835,0.022967053,0.023690141,0.01609138,0.003249639,-0.009848565,0.019274529,-0.020686056,0.023704345,0.014223641,0.013630631,0.001064983,0.009840231,0.013404451,-0.00271666,-0.333059964,-0.329325179,0.009731318,-0.031131264,0.012549187,-0.000255698,-0.320785958,-0.322100367,0.112955319,-0.049888632,-0.295922844,0.152591325,-0.184307901,-0.201692875,0.011416165,-0.04075603,-0.110251844,0.091589484,0.071092388,-0.033084357,-0.12744997,-0.122501213,-0.203247281,0.052447145,0.018616987,-0.043517515,-0.088729332,0.058767671,0.053627703,0.079601267,0.009022534,-0.00369537,-0.000739734,-0.002588589,0.090966992,0.025232896,0.009482012,-0.078431777,-0.055176815,-0.051511308,0.032559117,0.064651756,0.11330463,0.118223315,0.032814328,-0.177282296,-0.013471574,-0.02388216,0.010669522,0.021775768
jobsat,0.01563093,-0.031193969,0.001781912,0.416807141,0.422564002,-0.080120274,-0.065666615,0.171702688,-0.007664024,0.46136183,0.513673242,0.162461637,0.23362438,0.283221453,0.022813117,0.148970167,0.166655712,-0.197925173,1,-0.02613317,-0.025352923,-0.021995941,-0.170553443,0.007562404,-0.017592751,0.009515907,-0.002123855,-0.021387592,-0.012616483,-0.011939273,0.017623701,0.006815425,-0.020749969,0.356338533,0.400734914,0.015347635,0.007043799,0.014587634,0.240927045,0.179400601,0.032748516,0.006224854,-0.004793069,-0.001815465,-0.023132776,0.004205609,-0.009860409,0.018790199,-0.024603102,-0.019768005,-0.022173574,0.004447727,-0.022153374,-0.00342955,0.004695348,-0.005292376,0.044731648,-0.018725844,0.013840813,0.045768791,0.010016148,-0.011830381,0.001627419,0.005906639,0.380412113,0.384017153,-0.025751718,0.02124036,-0.017186385,0.016544997,0.368713615,0.366220296,-0.10248659,0.048684503,0.331639404,-0.154946912,0.242447519,0.256484447,0.026459773,0.080851814,0.15677785,-0.086268323,-0.056877308,0.058645961,0.171165771,0.171543898,0.244336948,-0.034958178,-8.96E-05,0.069993155,0.127176361,-0.025482399,-0.033575178,-0.058959651,0.008147615,0.024596456,0.018291617,0.014967392,-0.056779431,0.012290117,0.006806419,0.14077713,0.126719368,0.112916427,-0.026782376,-0.08053341,-0.092073916,-0.11673083,-0.026108006,0.19853989,0.015173453,-0.000330395,-0.022762574,0.061996461
marital,0.056497902,0.029925068,0.003888271,0.003030972,0.004784605,-0.021443964,-0.02229251,0.003116215,-0.004504603,-0.007134228,0.001605328,-0.00156603,0.009840855,0.009614249,-0.036629766,-0.006449421,0.002604951,-0.044724053,-0.02613317,1,0.955768664,0.905200789,0.627881398,-0.004318059,0.001646283,-0.012146352,-0.017878358,-0.006753681,-0.000812676,0.010328399,5.11E-05,0.130420415,0.008698324,0.057831819,0.052146039,-0.007217423,0.003667079,0.005245379,0.006167493,0.008534572,-0.013553378,-0.00313473,0.014027082,0.010451607,0.001887615,0.010050277,-0.014963965,0.000367302,0.000973305,0.009584126,-0.01642782,0.009392224,-0.007823205,-0.019151026,-0.002446686,-0.000555832,0.004407861,-0.006380063,-0.000374286,-0.023007349,-0.017162277,-0.012995881,-0.020578153,0.002337922,0.130068866,0.12152653,0.004321218,-0.005518272,0.03363521,-0.009715778,0.14309009,0.136519948,-0.015942177,0.155553387,0.169867323,-0.051491606,0.145029543,0.145476603,0.021710395,0.061987441,0.090439092,-0.012889014,0.005562937,0.058781684,0.093590915,0.092010075,0.121431475,0.004163725,0.027121032,0.060766465,0.075560871,0.026565635,-0.000824028,-0.021059847,0.032100499,0.013559391,0.027305483,0.039526855,-0.026872523,0.039690443,0.034749194,0.065730081,0.079002206,0.059714517,0.007390986,-0.035172103,-0.024487749,-0.01282218,-0.001356859,0.103666888,0.011970067,0.023048324,-0.011006152,0.018953469
spoused,0.052841849,0.026109646,0.002013271,-0.0028921,0.000479973,0.11756337,0.111136519,-0.003397743,-0.002327271,-0.03043695,-0.020121698,-0.01392719,0.03808896,0.041984288,-0.037939575,0.009836047,0.026222938,-0.026903577,-0.025352923,0.955768664,1,0.984028596,0.601844992,-0.001914237,-0.000847087,-0.01029695,-0.021496817,-0.002724537,-0.000346733,0.005431201,0.003756069,0.126497251,0.010420131,0.049051502,0.050015035,-0.008884409,0.003757262,0.007577048,0.03045168,0.024115035,-0.016694592,-0.000140046,0.017675355,0.014568755,-0.002053727,0.005535269,-0.016843815,0.000447349,0.003367188,0.008514994,-0.014754996,0.009613173,-0.007195204,-0.011449016,0.000262331,0.003379571,-0.009348921,-0.005323724,0.002336454,-0.008279023,-0.023062284,-0.011616433,-0.025255977,0.003422156,0.11639094,0.116932897,-0.006797325,-0.006447508,0.031302742,-0.017785469,0.128433504,0.128607404,-0.012936169,0.152160038,0.154989254,-0.013710268,0.128291702,0.128419603,0.030607626,0.067240507,0.090001207,0.045657411,0.06797117,0.110431422,0.082564775,0.079605233,0.102039671,0.050363459,0.076121187,0.100078921,0.106220531,0.071727361,0.045469292,0.04442538,0.029896353,0.019537142,0.029362697,0.044027462,0.033141,0.040680481,0.028921897,0.070303714,0.080329906,0.057765337,0.046449352,0.024011886,0.018496862,0.044961783,0.034929157,0.090618494,-0.008599767,0.032033799,0.002480062,0.03075227
spousedcat,0.05029896,0.023250205,-0.001917842,-0.003425217,0.000823723,0.170277493,0.164745807,-0.007822767,-0.002041377,-0.036260638,-0.024719911,-0.018038019,0.050643223,0.056447568,-0.037587657,0.019014712,0.035613967,-0.019294815,-0.021995941,0.905200789,0.984028596,1,0.5692719,-0.000222068,-0.003298823,-0.007781267,-0.020390834,-0.00270419,0.001021045,0.004189406,0.005426902,0.118516012,0.008648713,0.046210292,0.050979212,-0.009960553,0.002109473,0.006905145,0.041031957,0.029728505,-0.019972472,0.002929669,0.019909191,0.016615816,-0.003369699,0.003280528,-0.016433778,0.004846172,0.002797275,0.006260709,-0.015137709,0.008140726,-0.006942297,-0.007815893,-0.000791196,0.006353234,-0.013540005,-0.004615985,0.001107424,-0.001320913,-0.02035069,-0.008052417,-0.023069492,0.004950291,0.108808307,0.114378563,-0.012784741,-0.002712905,0.033351614,-0.019662992,0.121460689,0.124653989,-0.010936453,0.148398072,0.145935447,0.003897649,0.119477151,0.119371281,0.033911282,0.068554621,0.087505682,0.068229522,0.093154303,0.129138945,0.076220457,0.074577783,0.092960746,0.069096497,0.09677918,0.114302607,0.120822403,0.091184174,0.064896719,0.071387951,0.029726964,0.023522894,0.030706232,0.045428414,0.057627842,0.038969022,0.026671451,0.070425112,0.07964811,0.054414269,0.063592197,0.047637412,0.03717984,0.06969928,0.051898067,0.081830733,-0.015360609,0.02988137,0.007672814,0.038309465
reside,0.048202953,0.045429993,0.031949451,-0.336148624,-0.329220599,0.023230202,0.014514467,-0.015511774,0.004716686,-0.242910197,-0.256361538,-0.1774083,-0.06743442,-0.082258003,-0.023231314,-0.043514818,-0.044920668,0.123707912,-0.170553443,0.627881398,0.601844992,0.5692719,1,-0.016716388,-0.016905947,-0.017890575,-0.002499405,-0.006040087,0.002045581,0.016646593,-0.011077192,0.121470068,0.014487282,-0.240861451,-0.24813672,-0.026035451,0.013316522,-0.018430205,-0.069371803,-0.058817219,-0.023657835,-0.015600933,0.026460463,0.025661526,0.020147867,-0.004788481,-0.021587922,-0.001688758,0.01545087,0.014116348,-0.020665112,0.019689922,0.006940897,-0.022375837,-0.008358591,0.013618382,-0.008108246,0.006195299,-0.007464963,-0.029394063,-0.020041663,0.003831088,-0.018099918,-0.000218082,-0.181548139,-0.163331756,-0.003532766,-0.028349232,0.035105422,0.00590623,-0.156149864,-0.146973483,0.076421052,0.092937904,-0.101354975,0.036540338,-0.061606612,-0.077821216,0.031285672,0.024897543,-0.023640676,0.0237294,0.022365525,-0.009364791,-0.028810986,-0.033172907,-0.07619419,0.021951713,0.016688792,-0.010673583,-0.044541702,0.034639227,0.032935405,0.027367944,0.02939282,0.015056642,0.020329866,0.038905901,0.011270075,0.041446783,0.026783157,0.001593936,0.01691913,0.00948155,0.027204804,0.019212728,0.042858724,0.058532838,0.015212206,-0.052898256,0.009190345,0.009650641,0.014350965,0.006198181
pets,-0.012092891,-0.000220637,0.02768391,0.027097744,0.028179581,0.032211552,0.030485351,0.011539325,0.022246036,0.023703122,0.029658139,0.027953299,0.007987383,0.002486287,-0.002676276,0.000813858,0.007556773,0.007756428,0.007562404,-0.004318059,-0.001914237,-0.000222068,-0.016716388,1,0.250964574,0.219949368,0.118989452,0.098416352,0.183479838,0.14102789,0.898243748,0.009076626,-0.013417684,0.027646585,0.031527132,-0.008200446,0.016804411,0.000641978,0.019087027,0.02702388,0.010245358,-0.013008644,0.003828385,0.002930002,0.007289264,0.015330233,8.18E-05,-0.008768972,-0.020615292,-0.001908438,0.001764807,-0.006872518,0.008270531,-0.01116164,0.00189572,-0.000402936,-0.010764493,-0.008626816,-0.007745565,0.001105998,-0.017437901,-0.0138208,0.00102492,-0.01328954,0.033856969,0.040566285,0.004694397,-0.023793276,-0.015151879,-0.012777977,0.036782521,0.039237759,-0.006581074,0.019086742,0.032175347,-0.00610637,0.020119372,0.023328656,-0.015046792,0.002461883,0.019787743,0.025725603,0.028102793,0.026217767,0.01580527,0.013003023,0.021404823,0.003754503,0.020204616,0.022827188,0.05196349,0.011458178,0.020457551,0.020402519,-0.004591547,-0.013769344,-0.008554641,-0.00305918,-0.004115487,-0.001029112,0.019514499,-0.00327834,0.023793667,0.007404438,-0.000546259,0.005437763,0.013779269,0.007741461,0.01830601,0.03423076,0.009910499,0.026538614,0.017070615,-0.005655344
pets_cats,-0.02035053,-0.018997029,0.014868702,0.01549626,0.02122287,0.010228574,0.013167177,-0.020794298,-0.021601132,0.008094347,0.013853523,0.010288382,-0.001416407,0.00375167,0.00371448,-0.001635852,0.003980742,-0.013151263,-0.017592751,0.001646283,-0.000847087,-0.003298823,-0.016905947,0.250964574,1,-0.000229099,-0.009037903,0.000634028,-0.006835021,-0.006727713,0.002479411,0.023453322,-0.017538599,0.020660838,0.017157818,-0.009555628,0.008593558,0.006710197,0.00633843,0.013695007,0.005744919,-0.004461703,0.009614797,0.005455211,-0.002234552,-0.0083907,0.012478485,-0.025616031,-0.001803749,-0.014603636,-0.011620439,-0.015364435,0.007517288,-0.00011574,-0.010928828,0.01212735,-0.021391496,-0.002039291,-0.013348043,-0.007922437,0.008643674,0.008204219,-0.004266558,0.016663139,0.018021362,0.021103352,-0.002089114,-0.024734963,-0.020190203,-0.031199946,0.014317343,0.015055661,-0.005092319,0.010472922,0.01309117,0.004004387,0.007563637,0.008678599,-0.026964336,-0.025403672,-0.010728595,0.010451431,0.00749558,0.009286515,-0.015942992,-0.010979098,-0.001490884,0.001290641,-0.000301378,-0.001334014,0.006983754,-0.017245375,-0.001346405,-0.000224354,-0.011609725,-0.018819035,-0.017422817,-0.005096621,-0.00253432,0.004554964,0.0029337,0.016023241,0.015857334,0.003837189,-0.019077894,-0.006876778,-0.013004629,-0.020451105,-0.000823272,0.03097719,-0.00181942,0.000857619,0.00482053,0.001342676
pets_dogs,0.022667314,0.03172976,-0.012092314,0.014603849,0.013146746,0.028155076,0.030387413,-0.001011193,-0.007472488,0.004251263,0.00920516,0.001706281,0.027146851,0.012037394,-0.003010043,0.019377943,0.015639454,-0.025214867,0.009515907,-0.012146352,-0.01029695,-0.007781267,-0.017890575,0.219949368,-0.000229099,1,-0.006408662,0.013816654,0.020831753,0.004586721,-0.01958059,-0.020434563,-0.004435348,0.011340127,0.016054682,-0.008117469,-0.008221322,-0.006763118,0.017015174,0.011618745,-0.020874665,0.008222579,0.027518877,0.024188348,0.01876423,-0.009255616,-0.004389573,-0.00071815,-0.00131592,0.002946971,0.009258662,0.002971096,0.021174835,0.006877903,-0.0082673,-0.008940419,0.015610004,0.030360385,-0.013409233,0.022468725,0.007791287,-0.016115894,0.009585855,-0.006655578,0.009434179,0.020106297,-0.016140205,-0.013663065,-0.007356205,0.004324396,0.018582923,0.025041177,-0.009716916,0.000916885,0.023154242,-0.00680561,0.025375434,0.02531323,0.010501304,0.006858186,0.013196884,0.000715845,0.009483357,0.019729098,0.010485992,0.005800243,0.01600961,0.009416006,0.018642036,0.025160894,0.014958324,0.010668992,0.023446425,0.016884173,0.001337117,0.022231568,-0.00751175,0.005112464,0.007406357,0.000688045,0.006591862,-0.012117939,-0.021895156,0.007874198,-0.000853926,0.018475762,0.022536785,-0.00732465,0.017175723,0.021519064,-0.00909862,0.012210063,0.016311273,0.004742825
pets_birds,0.00262684,-0.011035127,0.025103187,-0.016220133,-0.011076904,0.00805094,0.013713802,0.000804522,-0.009560082,-0.012746234,-0.009412174,-0.010811106,-0.002779598,0.000498989,-0.013198956,-0.012015494,-0.007104173,-0.020334546,-0.002123855,-0.017878358,-0.021496817,-0.020390834,-0.002499405,0.118989452,-0.009037903,-0.006408662,1,-0.013283047,-0.008723563,-0.009243517,-0.019977634,-0.010508691,0.016285317,-0.007578409,-0.007096742,0.014831076,0.003057565,0.018154071,0.007843097,0.015740691,0.015288418,0.001456084,-0.001608438,-0.002352314,0.009537469,0.002767083,0.009822926,-0.002759656,-0.024815898,-0.02863576,-0.013309362,-0.001374244,0.023420407,0.01339824,-0.003911305,-0.018535346,-0.015730469,-0.012941991,-0.001516633,0.017060788,0.008799935,0.010181777,0.001013806,0.004366001,0.0007407,0.008438865,0.008806381,-0.001715651,0.018559788,-0.004497083,-0.002289703,0.004625866,0.039565622,-0.013343692,-0.001340425,-0.002574706,-0.010210904,-0.007703037,-0.006103213,-0.009435782,-0.012019797,-0.014619502,-0.017889894,-0.028136585,-0.008386519,-0.017159754,-0.007498898,0.000568177,2.23E-05,-0.012658903,0.009232521,0.008581164,0.005216476,0.011679192,-0.020512119,-0.001140677,-0.009146267,-0.008795636,0.01237662,-0.005059257,0.001172196,0.012504174,0.024045893,0.016317298,4.85E-05,0.003941324,-0.011761738,0.003979658,0.007712657,-0.024218126,-0.017761398,-0.003190657,0.008489159,-0.01623452
pets_reptiles,-0.010965304,0.012033155,0.006138982,0.008047121,0.013893801,-0.001301414,0.000599986,0.007321441,0.027364218,-0.006656312,-0.005603742,-0.003518717,-0.00397148,0.006520428,0.016823738,5.11E-06,0.005019291,-0.00740492,-0.021387592,-0.006753681,-0.002724537,-0.00270419,-0.006040087,0.098416352,0.000634028,0.013816654,-0.013283047,1,-0.021438418,-0.002556367,0.006075474,0.012677517,-0.002172086,0.003820354,0.009947581,-0.035367107,-0.016229352,-0.020335044,-0.011191223,-0.014340682,-0.019594909,0.005934112,0.02530378,0.019701876,0.006679566,-0.025989511,-0.005104706,0.001986765,0.002665542,-0.018349842,0.001000705,0.038632921,-0.008454398,-0.000615818,-0.006700618,-0.011856475,0.016985785,-0.018997444,-0.029214817,-0.007377461,-0.016348615,0.00222563,-0.026168164,0.001934587,0.008361318,0.003877338,0.030202054,0.003592868,-0.033773471,0.012526669,0.006702168,0.009072464,0.006710376,-0.025383338,-0.001271725,-0.018905502,-0.013141111,-0.009218889,-0.00026654,-0.00109244,0.003466591,0.011992083,0.011339846,0.008497955,-0.016483363,-0.008863943,-0.002899433,0.003148734,0.001993146,0.004789069,0.002732703,-0.012336921,0.000399352,-0.007833163,-0.00504773,-0.000199105,-0.000745688,0.007517491,0.002691827,-0.00605094,0.008284132,-0.007811618,0.017524706,-0.013042376,-0.001345172,0.011567311,-0.003954511,0.007384028,0.002072748,0.013057129,0.026084752,0.008980164,0.035363868,0.025133217
